"","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_verifications","latitude","longitude","room_type","accommodates","bathrooms","bedrooms","beds","price","minimum_nights","maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","number_of_reviews","reviews_per_month","review_scores_rating","instant_bookable","fully_booked_30","host_since_months_int"
"86","within a few hours",100,100,"TRUE",2,"phone_email",-33.94159,18.40497,"Entire home/apt",2,1,1,1,1050,5,365,5,365,23,1.08,4.78,"FALSE","no",68
"87","within an hour",100,100,"FALSE",1,"phone_email",-33.7992089,18.5037272,"Entire home/apt",2,1,1,1,951,1,365,1,365,18,3.67,4.89,"TRUE","no",18
"88","within a few hours",100,84,"TRUE",1,"phone_email",-33.8534076,18.6044928,"Entire home/apt",2,1,1,1,574,2,730,1,730,93,2.85,4.95,"FALSE","no",128
"89","within a few hours",96,73,"TRUE",33,"phone_email",-33.91175,18.39957,"Entire home/apt",10,4.5,5,5,12386,2,365,2,365,7,0.31,4.86,"FALSE","yes",136
"90","within an hour",100,100,"FALSE",1,"phone_email",-33.9056616,18.39866,"Entire home/apt",2,1,1,1,1346,2,365,2.3,1125,1,1,4,"TRUE","no",16
"91","within an hour",100,93,"FALSE",1,"phone_email",-33.88537,18.49315,"Entire home/apt",2,1,1,1,459,2,1080,2.2,1125,32,2.27,4.72,"FALSE","no",23
"92","within an hour",100,100,"FALSE",2,"phone_email",-33.93479,18.42062,"Entire home/apt",4,1.5,2,2,800,6,90,6,1125,55,0.46,4.85,"FALSE","no",119
"93","within an hour",100,75,"FALSE",28,"phone_only",-33.91420807,18.41666548,"Entire home/apt",4,2,2,2,1620,2,365,2,365,39,1.34,4.87,"FALSE","no",31
"94","within an hour",100,100,"FALSE",1,"phone_email",-33.8572884,18.6940813,"Entire home/apt",2,1,1,1,618,1,1125,1,1125,22,5.32,4.95,"FALSE","no",12
"95","within an hour",100,100,"FALSE",4,"phone_email",-33.926,18.45423,"Entire home/apt",2,1,1,1,756,3,60,3.3,60,40,2.15,4.63,"FALSE","no",31
"96","within an hour",100,78,"FALSE",3,"phone_email",-33.823546,18.49547562,"Entire home/apt",4,1,2,3,1444,3,365,3,365,14,1.49,4.93,"FALSE","no",18
"97","within a few hours",100,100,"TRUE",1,"phone_email",-34.13218,18.34221,"Entire home/apt",7,3,3,5,2655,3,190,3,190,194,1.48,4.94,"FALSE","yes",139
"98","within an hour",100,96,"TRUE",148,"phone_email",-33.92085013,18.42466723,"Entire home/apt",2,1,1,1,1509,2,1125,2,1125,1,0.73,5,"FALSE","yes",91
"99","within a day",90,50,"FALSE",1,"phone_email",-33.8302,18.4829,"Entire home/apt",6,2,3,4,2803,5,90,5,90,38,0.32,4.97,"FALSE","no",131
"100","within a few hours",70,80,"FALSE",1,"phone_email",-33.92015,18.42373,"Entire home/apt",2,1,1,1,698,5,90,5,1125,2,0.2,5,"FALSE","no",155
"101","within a few hours",90,92,"FALSE",25,"phone_email",-33.95366,18.47167,"Private room",1,3,1,1,365,5,365,5,365,5,0.11,4.8,"FALSE","yes",122
"102","within a day",70,68,"FALSE",3,"phone_email",-33.92998,18.40062,"Entire home/apt",2,1,1,1,500,28,180,14.8,180,16,0.39,4.38,"FALSE","yes",167
"103","within an hour",100,77,"FALSE",2,"phone_email",-33.8648814,18.5525691,"Entire home/apt",6,2,3,4,3465,6,365,8,365,19,0.86,4.79,"FALSE","no",98
"104","within an hour",100,100,"TRUE",2,"phone_email",-33.92695,18.41571,"Entire home/apt",2,1,1,1,1027,2,1125,2,1125,14,0.79,5,"TRUE","no",42
"105","within an hour",100,77,"TRUE",1,"phone_email",-33.93410727,18.42951007,"Entire home/apt",2,1,1,1,933,2,365,2,365,10,1.18,4.9,"FALSE","no",22
